Designator,Mid X,Mid Y,Layer,Rotation
C1,62.64,126.77,B,180.00
C1,124.64,126.77,B,180.00
C1,11.36,9.23,B,0.00
C1,73.36,9.23,B,0.00
C2,42.64,126.77,B,180.00
C2,104.64,126.77,B,180.00
C2,31.36,9.23,B,0.00
C2,93.36,9.23,B,0.00
C3,32.64,126.77,B,180.00
C3,94.64,126.77,B,180.00
C3,41.36,9.23,B,0.00
C3,103.36,9.23,B,0.00
C4,17.64,126.77,B,180.00
C4,79.64,126.77,B,180.00
C4,56.36,9.23,B,0.00
C4,118.36,9.23,B,0.00
C5,12.65,126.77,B,180.00
C5,74.65,126.77,B,180.00
C5,61.35,9.23,B,0.00
C5,123.35,9.23,B,0.00
C6,9.16,124.46,B,270.00
C6,71.16,124.46,B,270.00
C6,64.84,11.54,B,90.00
C6,126.84,11.54,B,90.00
C7,64.04,118.47,B,0.00
C7,126.04,118.47,B,0.00
C7,9.96,17.53,B,180.00
C7,71.96,17.53,B,180.00
C8,64.04,117.67,B,0.00
C8,126.04,117.67,B,0.00
C8,9.96,18.33,B,180.00
C8,71.96,18.33,B,180.00
C9,64.89,122.72,B,270.00
C9,126.89,122.72,B,270.00
C9,9.11,13.28,B,90.00
C9,71.11,13.28,B,90.00
C10,47.09,119.06,B,180.00
C10,109.09,119.06,B,180.00
C10,26.91,16.94,B,0.00
C10,88.91,16.94,B,0.00
C11,48.04,116.05,B,0.00
C11,110.04,116.05,B,0.00
C11,25.96,19.95,B,180.00
C11,87.96,19.95,B,180.00
C12,31.02,114.60,B,180.00
C12,93.02,114.60,B,180.00
C12,42.98,21.40,B,0.00
C12,104.98,21.40,B,0.00
C13,62.03,21.39,B,0.00
C13,11.97,114.61,B,180.00
C13,73.97,114.61,B,180.00
C13,124.03,21.39,B,0.00
C14,64.86,19.79,B,90.00
C14,126.86,19.79,B,90.00
C14,9.14,116.21,B,270.00
C14,71.14,116.21,B,270.00
C15,64.94,111.22,B,270.00
C15,126.94,111.22,B,270.00
C15,9.06,24.78,B,90.00
C15,71.06,24.78,B,90.00
C16,64.89,106.54,B,270.00
C16,126.89,106.54,B,270.00
C16,9.11,29.46,B,90.00
C16,71.11,29.46,B,90.00
C17,47.10,110.88,B,0.00
C17,109.10,110.88,B,0.00
